Site,Taxa,LOG_GS,GS,Mean_CellDensity_cm2,n
cbgb.us,Andropogon_gerardii,2.013568798,6.49,10875.70621,9
cbgb.us,Asclepias_syriaca,0.617884696,0.855,17952.75591,3
cbgb.us,Baptisia_alba,1.388541834,3.009,10846.45669,1
cbgb.us,Brickellia_eupatroides,1.15750993,2.182,22857.81544,7
cbgb.us,Bromus_inermis,3.154059932,22.431,5484.934087,3
cbgb.us,Chamaecrista_fasciculata,0.898941094,1.457,13465.16008,3
cbgb.us,Chenopodium_album,1.091923301,1.98,10787.40157,3
cbgb.us,Coreopsis_tripteris,2.095560924,7.13,2972.440945,4
cbgb.us,Echinaceae_pallida,3.369534701,28.065,4625.984252,2
cbgb.us,Elymus_canadensis,3.033076227,19.761,14312.6177,6
cbgb.us,Eryngium_yuccifolium,2.395984357,9.979,8498.116761,4
cbgb.us,Lespedeza_capitata,1.122979645,2.074,17598.4252,2
cbgb.us,Monarda_fistulosa,1.063330475,1.896,7992.125984,11
cbgb.us,Ratibida_pinnata,2.763421834,14.854,5137.795276,8
cbgb.us,Schizachyrium_scoparium,1.69414664,4.442,4872.881356,8
cbgb.us,Solanum_carolinense,1.240690387,2.458,5118.110236,3
cbgb.us,Solidago_canadensis,1.886311786,5.595,7559.055118,7
cbgb.us,Solidago_gigantea,1.554136597,3.731,10905.51181,3
cbgb.us,Solidago_rigida,1.549687908,3.71,7224.409449,9
cbgb.us,Solidago_speciosa,1.701652396,4.483,10059.05512,4
cbgb.us,Sorghastrum_nutans,3.148882453,22.31,4425.612053,2
cdcr.us,Ambrosia_artemisiifolia,1.22729863,2.412,22669.49153,1
cdcr.us,Andropogon_gerardii,2.002020395,6.404,6240.15748,11
cdcr.us,Asclepias_syriaca,0.599934799,0.822,16732.28346,3
cdcr.us,Elymus_repens,3.175884813,22.948,3385.826772,2
cdcr.us,Lespedeza_capitata,1.136871001,2.117,8366.141732,6
cdcr.us,Liatris_aspera,1.492004816,3.446,12736.22047,5
cdcr.us,Monarda_sp.,1.058137456,1.881,6633.858268,2
cdcr.us,Rumex_acetosella,1.786914418,4.971,2716.535433,8
cdcr.us,Schizachyrium_scoparium,1.723480628,4.604,8070.866142,6
cdcr.us,Silene_latifolia,1.993883653,6.344,2736.220472,3
cdcr.us,Solidago_missouriensis,1.060910421,1.889,20492.12598,9
cdcr.us,Solidago_rigida,1.025683109,1.789,15748.0315,1
kbs.us,Achillea_millefolium,2.51373869,11.35102049,2328.125,11
kbs.us,Asclepias_syriaca,0.59663628,0.816,9763.779528,6
kbs.us,Bromus_inermis,3.176258036,22.95693962,6791.338583,8
kbs.us,Centaurea_stoebe,1.428525143,3.172540752,18785.31073,2
kbs.us,Daucus_carota,0.722705983,1.06,19562.14689,5
kbs.us,Elymus_repens,3.20547975,23.66733132,4960.629921,5
kbs.us,Euthamia_graminifolia,1.083160184,1.954,19251.9685,1
kbs.us,Phleum_pratense,2.355746641,9.546,6909.448819,3
